time,P,G(i),H_sun,T2m,WS10m,Int
20120118:0311,0,0,0,3.13,3.86,0
20120118:0411,0,0,0,4.04,4.21,0
20120118:0511,0,0,0,4.96,4.69,0
20120118:0611,0,0,0,5.75,4.97,0
20120118:0711,0,0,0,6.54,5.45,0
20120118:0811,0,0,0,6.9,5.45,0
20120118:0911,32.56,31.79,7.79,7.2,5.52,0
20120118:1011,43.48,39.05,13.11,7.63,5.38,0
20120118:1111,78.18,60.85,16.49,8.17,5.1,0
20120118:1211,50.2,43.59,17.62,8.92,4.83,0
20120118:1311,57.18,48.13,16.39,9.55,4.83,0
20120118:1411,36.08,34.51,12.92,10.03,4.76,0
20120118:1511,17.98,21.8,7.52,10.28,4.69,0
20120118:1611,0,0,0,10.33,4.34,0
20120118:1711,0,0,0,10.27,4,0
20120118:1811,0,0,0,10.15,3.79,0
20120118:1911,0,0,0,9.8,3.24,0
20120118:2011,0,0,0,9.64,3.31,0
20120118:2111,0,0,0,9.5,3.45,0
20120118:2211,0,0,0,9.45,3.66,0
20120118:2311,0,0,0,9.47,4.07,0
20120119:0011,0,0,0,9.54,4.48,0
20120119:0111,0,0,0,9.57,4.9,0
20120119:0211,0,0,0,9.51,4.9,0
20120119:0311,0,0,0,9.35,4.9,0
20120119:0411,0,0,0,9.24,4.62,0
20120119:0511,0,0,0,9.42,4.55,0
20120119:0611,0,0,0,9.93,5.66,0
20120119:0711,0,0,0,9.86,4.69,0
20120119:0811,0,0,0,9.62,4.07,0
20120119:0911,62.86,51.46,7.95,9.2,3.86,0
20120119:1011,270.46,170.61,13.29,8.75,4.9,0
20120119:1111,122.08,86.93,16.69,8.34,5.66,0
20120119:1211,1240.2,747.74,17.83,8.54,5.86,0
20120119:1311,283.04,177.88,16.61,8.88,6.14,0
20120119:1411,305.98,190.56,13.14,8.96,5.79,0
20120119:1511,32.34,31.79,7.74,8.46,5.38,0
20120119:1611,0,0,0,7.65,4.83,0
20120119:1711,0,0,0,6.8,4.97,0
20120119:1811,0,0,0,6.55,5.45,0
20120119:1911,0,0,0,6.26,5.93,0
20120119:2011,0,0,0,6.12,6.69,0
20120119:2111,0,0,0,5.9,6.97,0
20120119:2211,0,0,0,5.59,6.55,0
20120119:2311,0,0,0,5.01,6.21,0
20120120:0011,0,0,0,4.4,6,0
20120120:0111,0,0,0,3.74,6.07,0
20120120:0211,0,0,0,3.49,6.34,0
20120120:0311,0,0,0,3.38,6.41,0
20120120:0411,0,0,0,3.37,6.41,0
20120120:0511,0,0,0,3.39,6.41,0
20120120:0611,0,0,0,3.45,6.07,0
20120120:0711,0,0,0,3.86,6.07,0
20120120:0811,0,0,0,4.4,6.07,0
20120120:0911,35.64,33.6,8.11,5.36,6.34,0
20120120:1011,79.02,60.85,13.47,6.19,6.48,0
20120120:1111,122.88,86.89,16.88,7.04,6.55,0
20120120:1211,105.94,77.19,18.04,7.46,6.9,0
