LCLid,KWH/hh (per half hour)
MAC000008,0.252
MAC000008,0.186
MAC000008,0.248
MAC000008,0.251
MAC000008,0.262
MAC000008,0.285
MAC000008,0.224
MAC000008,0.278
MAC000008,0.32
MAC000008,0.45
MAC000008,0.421
MAC000008,0.358
MAC000008,0.406
MAC000008,0.183
MAC000008,0.182
MAC000008,0.204
MAC000008,0.197
MAC000008,0.178
MAC000008,0.154
MAC000008,0.207
MAC000008,0.158
MAC000008,0.185
MAC000008,0.257
MAC000008,0.231
MAC000008,0.15
MAC000008,0.18
MAC000008,0.158
MAC000008,0.154
MAC000008,0.184
MAC000008,0.186
MAC000008,0.196
MAC000008,0.178
MAC000008,0.271
MAC000008,0.218
MAC000008,0.303
MAC000008,0.682
MAC000008,0.699
MAC000008,0.276
MAC000008,0.188
MAC000008,0.209
MAC000008,0.198
MAC000008,0.219
MAC000008,0.293
MAC000008,0.346
MAC000008,0.357
MAC000008,0.532
MAC000008,0.741
MAC000008,0.808
MAC000008,0.474
MAC000008,0.309
MAC000008,0.353
MAC000008,0.331
MAC000008,0.359
MAC000008,0.296
MAC000008,0.328
MAC000008,0.361
MAC000008,0.352
MAC000008,0.393
MAC000008,0.29
MAC000008,0.183
MAC000008,0.212
MAC000008,0.193
MAC000008,0.19
MAC000008,0.295
MAC000008,0.173
MAC000008,0.199
MAC000008,0.181
MAC000008,0.161
MAC000008,0.197
MAC000008,0.177
MAC000008,0.219
MAC000008,0.163
MAC000008,0.185
MAC000008,0.163
MAC000008,0.179
MAC000008,0.17
MAC000008,0.299
MAC000008,0.234
MAC000008,0.192
MAC000008,0.722
MAC000008,0.426
MAC000008,0.333
MAC000008,0.245
MAC000008,0.215
MAC000008,0.182
MAC000008,0.196
MAC000008,0.189
MAC000008,0.28
MAC000008,0.357
MAC000008,0.257
MAC000008,0.286
MAC000008,0.234
MAC000008,0.267
MAC000008,0.267
MAC000008,0.258
MAC000008,0.246
MAC000008,0.263
MAC000008,0.317
MAC000008,0.295
MAC000008,0.308
MAC000008,0.273
MAC000008,0.293
MAC000008,0.341
MAC000008,0.315
MAC000008,0.418
MAC000008,0.233
MAC000008,0.236
MAC000008,0.2
MAC000008,0.136
MAC000008,0.246
MAC000008,0.185
MAC000008,0.189
MAC000008,0.142
MAC000008,0.233
MAC000008,0.118
MAC000008,0.178
MAC000008,0.106
MAC000008,0.157
MAC000008,0.153
MAC000008,0.229
MAC000008,0.1
MAC000008,0.153
MAC000008,0.113
MAC000008,0.139
MAC000008,0.145
MAC000008,0.264
MAC000008,0.777
MAC000008,0.216
MAC000008,0.17
MAC000008,0.198
MAC000008,0.217
MAC000008,0.707
MAC000008,0.573
MAC000008,0.967
MAC000008,0.858
MAC000008,0.33
MAC000008,0.288
MAC000008,0.213
MAC000008,0.198
MAC000008,0.1
MAC000008,0.141
MAC000008,0.139
MAC000008,0.149
MAC000008,0.194
MAC000008,0.149
MAC000008,0.162
MAC000008,0.233
MAC000008,0.239
MAC000008,0.302
MAC000008,0.235
MAC000008,0.247
MAC000008,0.228
MAC000008,0.38
MAC000008,0.305
MAC000008,0.304
MAC000008,0.238
MAC000008,0.182
MAC000008,0.217
MAC000008,0.169
MAC000008,0.175
MAC000008,0.183
MAC000008,0.17
MAC000008,0.216
MAC000008,0.178
MAC000008,0.195
MAC000008,0.17
MAC000008,0.161
MAC000008,0.19
MAC000008,0.176
MAC000008,0.203
MAC000008,0.166
MAC000008,0.182
MAC000008,0.174
MAC000008,0.244
MAC000008,0.207
MAC000008,0.215
MAC000008,0.279
MAC000008,0.287
MAC000008,0.202
MAC000008,0.271
MAC000008,0.211
MAC000008,0.231
MAC000008,0.188
MAC000008,0.196
MAC000008,0.579
MAC000008,0.689
MAC000008,0.753
MAC000008,0.795
MAC000008,0.24
MAC000008,0.212
MAC000008,0.213
MAC000008,0.396
MAC000008,0.256
MAC000008,0.258
MAC000008,0.318
MAC000008,0.403
MAC000008,0.41
MAC000008,0.454
